"Source:","C:\Users\henryque Farias\Desktop\HardTron\HARDino\HARDino.sch"
"Date:","16/09/2020 15:06:46"
"Tool:","Eeschema (5.1.5)-3"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","60"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","BT1","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"","","BT2","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"","","BZ1","Buzzer","Device:Buzzer","My Components:Buzzer","~"
"","","C1","100uF","pspice:CAP","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"","","C2","100uF","pspice:CAP","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"","","D1","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D2","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D3","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D4","LED_RGBC","Device:LED_RGBC","LED_THT:LED_D5.0mm-4_RGB","~"
"","","D5","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D6","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D7","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D8","1N4007","Diode:1N4007","Diode_SMD:D_SOD-128","http://www.vishay.com/docs/88503/1n4001.pdf"
"","","J1","RAPC712","RAPC712:RAPC712","My Components:SPC4078",""
"","","J2","Conn_01x04","Connector_Generic:Conn_01x04","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"","","J3","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"","","J4","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"","","J5","Conn_01x04","Connector_Generic:Conn_01x04","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"","","J6","Conn_01x03","Connector_Generic:Conn_01x03","My Components:Borne_1x3_10x15mm","~"
"","","J7","Conn_01x15","Connector_Generic:Conn_01x15","My Components:PinSocket_1x15_P2.54mm_Vertical","~"
"","","J8","Conn_01x15","Connector_Generic:Conn_01x15","My Components:PinSocket_1x15_P2.54mm_Vertical","~"
"","","J9","Conn_01x05","Connector_Generic:Conn_01x05","My Components:Borne_1x5_10x25mm","~"
"","","J10","Conn_01x04","Connector_Generic:Conn_01x04","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"","","J11","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"","","J12","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"","","K1","G5LE-1","Relay:G5LE-1","My Components:Relay_5v-250V.10A","http://www.omron.com/ecb/products/pdf/en-g5le.pdf"
"","","LDR1","LDR07","Sensor_Optical:LDR07","OptoDevice:R_LDR_5.1x4.3mm_P3.4mm_Vertical","http://www.tme.eu/de/Document/f2e3ad76a925811312d226c31da4cd7e/LDR07.pdf"
"","","POT1","10k","Device:R_POT","My Components:Potenciometro","~"
"","","POT2","10k","Device:R_POT","My Components:Potenciometro","~"
"","","Q1","BC547","Transistor_BJT:BC547","Package_TO_SOT_THT:TO-92_Inline","http://www.fairchildsemi.com/ds/BC/BC547.pdf"
"","","R1","1k","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R2","2k","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R3","330","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R4","330","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R5","330","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R6","330","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R7","330","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R8","330","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R9","330","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R10","330","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R11","330","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R12","10k","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R13","10k","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R14","100","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R15","10k","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R16","1k","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R17","330","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R18","330","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R19","330","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R20","330","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R21","330","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R22","330","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R23","330","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R24","330","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","SW1","SW_DIP_x04","Switch:SW_DIP_x04","My Components:SW_DIP_SPSTx04_Slide_9.78x12.34mm_W8.61mm_P2.54mm","~"
"","","SW4","SW_DIP_x03","Switch:SW_DIP_x03","My Components:SW_DIP_SPSTx03_Slide_9.78x9.8mm_W8.61mm_P2.54mm","~"
"","","SW6","SW_DIP_x04","Switch:SW_DIP_x04","My Components:SW_DIP_SPSTx04_Slide_9.78x12.34mm_W8.61mm_P2.54mm","~"
"","","U1","uA7805","Regulator_Linear:uA7805","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.ti.com/lit/ds/symlink/ua78.pdf"
"","","U2","SM420561N","Display_Character:SM420561N","Display_7Segment:7SegmentLED_LTS6760_LTS6780","https://datasheet.lcsc.com/szlcsc/Wuxi-ARK-Tech-Elec-SM420561N_C141367.pdf"
"","","U3","L293D","Driver_Motor:L293D","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/l293.pdf"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","2","BT1, BT2","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"2","1","BZ1","Buzzer","Device:Buzzer","My Components:Buzzer","~"
"3","2","C1, C2","100uF","pspice:CAP","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"4","6","D1, D2, D3, D5, D6, D7","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"5","1","D4","LED_RGBC","Device:LED_RGBC","LED_THT:LED_D5.0mm-4_RGB","~"
"6","1","D8","1N4007","Diode:1N4007","Diode_SMD:D_SOD-128","http://www.vishay.com/docs/88503/1n4001.pdf"
"7","1","J1","RAPC712","RAPC712:RAPC712","My Components:SPC4078",""
"8","3","J2, J5, J10","Conn_01x04","Connector_Generic:Conn_01x04","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"9","4","J3, J4, J11, J12","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"10","1","J6","Conn_01x03","Connector_Generic:Conn_01x03","My Components:Borne_1x3_10x15mm","~"
"11","2","J7, J8","Conn_01x15","Connector_Generic:Conn_01x15","My Components:PinSocket_1x15_P2.54mm_Vertical","~"
"12","1","J9","Conn_01x05","Connector_Generic:Conn_01x05","My Components:Borne_1x5_10x25mm","~"
"13","1","K1","G5LE-1","Relay:G5LE-1","My Components:Relay_5v-250V.10A","http://www.omron.com/ecb/products/pdf/en-g5le.pdf"
"14","1","LDR1","LDR07","Sensor_Optical:LDR07","OptoDevice:R_LDR_5.1x4.3mm_P3.4mm_Vertical","http://www.tme.eu/de/Document/f2e3ad76a925811312d226c31da4cd7e/LDR07.pdf"
"15","2","POT1, POT2","10k","Device:R_POT","My Components:Potenciometro","~"
"16","1","Q1","BC547","Transistor_BJT:BC547","Package_TO_SOT_THT:TO-92_Inline","http://www.fairchildsemi.com/ds/BC/BC547.pdf"
"17","2","R1, R16","1k","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"18","1","R2","2k","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"19","17","R3, R4, R5, R6, R7, R8, R9, R10, R11, R17, R18, R19, R20, R21, R22, R23, R24","330","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"20","3","R12, R13, R15","10k","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"21","1","R14","100","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"22","2","SW1, SW6","SW_DIP_x04","Switch:SW_DIP_x04","My Components:SW_DIP_SPSTx04_Slide_9.78x12.34mm_W8.61mm_P2.54mm","~"
"23","1","SW4","SW_DIP_x03","Switch:SW_DIP_x03","My Components:SW_DIP_SPSTx03_Slide_9.78x9.8mm_W8.61mm_P2.54mm","~"
"24","1","U1","uA7805","Regulator_Linear:uA7805","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.ti.com/lit/ds/symlink/ua78.pdf"
"25","1","U2","SM420561N","Display_Character:SM420561N","Display_7Segment:7SegmentLED_LTS6760_LTS6780","https://datasheet.lcsc.com/szlcsc/Wuxi-ARK-Tech-Elec-SM420561N_C141367.pdf"
"26","1","U3","L293D","Driver_Motor:L293D","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/l293.pdf"
